[ 2026-07-05 08:44:50,501 ] 18 root - INFO - Initiate the data ingestion
[ 2026-07-05 08:44:58,833 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-07-05 08:44:58,833 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-05 08:44:58,834 ] 74 root - INFO - Exporting train and test file path.
[ 2026-07-05 08:44:58,918 ] 83 root - INFO - Exported train and test file path.
[ 2026-07-05 08:44:58,919 ] 20 root - INFO - Data Initiated Completed
[ 2026-07-05 08:44:58,929 ] 26 root - INFO - Initiate the data Validation
[ 2026-07-05 08:44:58,961 ] 36 root - INFO - Required number of columns: 2
[ 2026-07-05 08:44:58,961 ] 37 root - INFO - Data frame has columns: 31
[ 2026-07-05 08:44:58,961 ] 36 root - INFO - Required number of columns: 2
[ 2026-07-05 08:44:58,962 ] 37 root - INFO - Data frame has columns: 31
[ 2026-07-05 08:44:59,176 ] 28 root - INFO - Data Validation completed
[ 2026-07-05 08:44:59,177 ] 62 root - INFO - Enter initiate_data_transformation method of DataTransformation class
[ 2026-07-05 08:44:59,177 ] 64 root - INFO - Starting data transformation
[ 2026-07-05 08:44:59,210 ] 45 root - INFO - Entered get_data_transforme_object method of Transformation class
[ 2026-07-05 08:44:59,210 ] 52 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-05 08:44:59,225 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 08:44:59,260 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 08:44:59,262 ] 34 root - INFO - Data Transformation completed
