[ 2026-07-05 08:37:06,744 ] 18 root - INFO - Initiate the data ingestion
[ 2026-07-05 08:37:14,849 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-07-05 08:37:14,849 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-05 08:37:14,850 ] 74 root - INFO - Exporting train and test file path.
[ 2026-07-05 08:37:14,928 ] 83 root - INFO - Exported train and test file path.
[ 2026-07-05 08:37:14,929 ] 20 root - INFO - Data Initiated Completed
[ 2026-07-05 08:37:14,951 ] 26 root - INFO - Initiate the data Validation
[ 2026-07-05 08:37:14,995 ] 36 root - INFO - Required number of columns: 2
[ 2026-07-05 08:37:14,996 ] 37 root - INFO - Data frame has columns: 31
[ 2026-07-05 08:37:14,998 ] 36 root - INFO - Required number of columns: 2
[ 2026-07-05 08:37:14,998 ] 37 root - INFO - Data frame has columns: 31
[ 2026-07-05 08:37:15,216 ] 28 root - INFO - Data Validation completed
[ 2026-07-05 08:37:15,217 ] 62 root - INFO - Enter initiate_data_transformation method of DataTransformation class
[ 2026-07-05 08:37:15,217 ] 64 root - INFO - Starting data transformation
[ 2026-07-05 08:37:15,256 ] 45 root - INFO - Entered get_data_transforme_object method of Transformation class
[ 2026-07-05 08:37:15,256 ] 52 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
